seed,units,sr,input_scale,leak,MC
45.0,100.0,0.5,0.1,0.3,4.511541029412502
45.0,100.0,0.5,0.1,0.7,7.8751954662934125
45.0,100.0,0.5,0.1,1.0,11.073113172789869
45.0,100.0,0.5,0.5,0.3,4.16524293209242
45.0,100.0,0.5,0.5,0.7,6.631343928084722
45.0,100.0,0.5,0.5,1.0,8.587390591611172
45.0,100.0,0.5,1.0,0.3,2.8694650915008166
45.0,100.0,0.5,1.0,0.7,5.174610597920905
45.0,100.0,0.5,1.0,1.0,6.547229405866124
45.0,100.0,0.9,0.1,0.3,6.060061538511255
45.0,100.0,0.9,0.1,0.7,13.158381701926848
45.0,100.0,0.9,0.1,1.0,19.389768886899336
45.0,100.0,0.9,0.5,0.3,3.6583936077607992
45.0,100.0,0.9,0.5,0.7,8.863475637614323
45.0,100.0,0.9,0.5,1.0,11.641928371642923
45.0,100.0,0.9,1.0,0.3,2.15861808229333
45.0,100.0,0.9,1.0,0.7,6.140593046871951
45.0,100.0,0.9,1.0,1.0,7.8257891650770635
45.0,100.0,1.1,0.1,0.3,6.169662251925378
45.0,100.0,1.1,0.1,0.7,14.277219505103862
45.0,100.0,1.1,0.1,1.0,13.685089699942528
45.0,100.0,1.1,0.5,0.3,2.564484497890276
45.0,100.0,1.1,0.5,0.7,9.63565850154813
45.0,100.0,1.1,0.5,1.0,12.484648441962527
45.0,100.0,1.1,1.0,0.3,2.0341775229832955
45.0,100.0,1.1,1.0,0.7,6.566462012782892
45.0,100.0,1.1,1.0,1.0,8.203884307214174
46.0,100.0,0.5,0.1,0.3,4.770046583970356
46.0,100.0,0.5,0.1,0.7,8.68430604456769
46.0,100.0,0.5,0.1,1.0,11.949457442195516
46.0,100.0,0.5,0.5,0.3,4.2396483856133536
46.0,100.0,0.5,0.5,0.7,7.389631276377378
46.0,100.0,0.5,0.5,1.0,9.041009088828952
46.0,100.0,0.5,1.0,0.3,2.810096020241504
46.0,100.0,0.5,1.0,0.7,5.470706470585757
46.0,100.0,0.5,1.0,1.0,6.975255207738854
46.0,100.0,0.9,0.1,0.3,6.1872500487799
46.0,100.0,0.9,0.1,0.7,13.296471758743774
46.0,100.0,0.9,0.1,1.0,19.786620631247295
46.0,100.0,0.9,0.5,0.3,3.032735813684711
46.0,100.0,0.9,0.5,0.7,8.860233661056665
46.0,100.0,0.9,0.5,1.0,13.475117373455452
46.0,100.0,0.9,1.0,0.3,1.8638299241047307
46.0,100.0,0.9,1.0,0.7,6.76289790862554
46.0,100.0,0.9,1.0,1.0,9.109682609561847
46.0,100.0,1.1,0.1,0.3,2.788558088709603
46.0,100.0,1.1,0.1,0.7,9.68929989789881
46.0,100.0,1.1,0.1,1.0,14.155564754214097
46.0,100.0,1.1,0.5,0.3,1.3811481257799287
46.0,100.0,1.1,0.5,0.7,9.067544370950797
46.0,100.0,1.1,0.5,1.0,13.74233031692939
46.0,100.0,1.1,1.0,0.3,1.9738275339359082
46.0,100.0,1.1,1.0,0.7,7.018062787129207
46.0,100.0,1.1,1.0,1.0,9.651075695412855
47.0,100.0,0.5,0.1,0.3,4.742186732679985
47.0,100.0,0.5,0.1,0.7,8.15444721344904
47.0,100.0,0.5,0.1,1.0,11.138721779049648
47.0,100.0,0.5,0.5,0.3,3.8514643524211176
47.0,100.0,0.5,0.5,0.7,6.413051500463832
47.0,100.0,0.5,0.5,1.0,8.496990510316193
47.0,100.0,0.5,1.0,0.3,1.931622733906257
47.0,100.0,0.5,1.0,0.7,4.503441936695485
47.0,100.0,0.5,1.0,1.0,6.67243117735504
47.0,100.0,0.9,0.1,0.3,6.130556956624448
47.0,100.0,0.9,0.1,0.7,13.055246127539776
47.0,100.0,0.9,0.1,1.0,19.769615613751615
47.0,100.0,0.9,0.5,0.3,1.197211295785064
47.0,100.0,0.9,0.5,0.7,7.453333422093836
47.0,100.0,0.9,0.5,1.0,12.482027566232157
47.0,100.0,0.9,1.0,0.3,1.1819601023801802
47.0,100.0,0.9,1.0,0.7,5.612285793095889
47.0,100.0,0.9,1.0,1.0,8.194379297986425
47.0,100.0,1.1,0.1,0.3,5.703825391263155
47.0,100.0,1.1,0.1,0.7,11.85504512419466
47.0,100.0,1.1,0.1,1.0,17.870970562212552
47.0,100.0,1.1,0.5,0.3,0.8535974967417559
47.0,100.0,1.1,0.5,0.7,8.248268868755254
47.0,100.0,1.1,0.5,1.0,13.49778942226334
47.0,100.0,1.1,1.0,0.3,1.0573543414697792
47.0,100.0,1.1,1.0,0.7,5.885771376253565
47.0,100.0,1.1,1.0,1.0,8.419320730422191
48.0,100.0,0.5,0.1,0.3,4.953150144830329
48.0,100.0,0.5,0.1,0.7,8.939496057511885
48.0,100.0,0.5,0.1,1.0,11.538157476116664
48.0,100.0,0.5,0.5,0.3,4.760883938765328
48.0,100.0,0.5,0.5,0.7,7.338536045677353
48.0,100.0,0.5,0.5,1.0,9.185683915547889
48.0,100.0,0.5,1.0,0.3,3.2093692060119974
48.0,100.0,0.5,1.0,0.7,5.314094304840522
48.0,100.0,0.5,1.0,1.0,6.746162698034608
48.0,100.0,0.9,0.1,0.3,6.632222839429412
48.0,100.0,0.9,0.1,0.7,13.21817506312412
