family,seed,units,sr,input_scale,leak,task,val_nmse,test_nmse,alpha,replicate,val_rank_pct
ESN,43,100,0.9,0.5,1.0,mackey_glass,2.9225037834097025e-06,2.2380000388713334e-06,1e-07,mackey_glass__seed43,0.2222222222222222
ESN,43,100,0.9,0.5,1.0,narma10,0.2164889309666716,0.2753417191383415,0.01,narma10__seed43,0.1851851851851851
ESN,43,100,0.9,0.5,1.0,lorenz,2.6294400625437093e-08,1.5182068040762192e-08,1e-07,lorenz__seed43,0.1851851851851851
ESN,43,100,0.9,0.5,1.0,sunspots_annual,0.2280742474848122,0.1694897916931469,10.0,sunspots_annual__seed43,0.6296296296296297
ESN,43,100,0.9,1.0,0.3,mackey_glass,8.989898001567664e-05,4.650202502467528e-05,1e-06,mackey_glass__seed43,0.7777777777777778
ESN,43,100,0.9,1.0,0.3,narma10,0.3827085817333778,0.2789847978967848,0.1,narma10__seed43,0.7777777777777778
ESN,43,100,0.9,1.0,0.3,lorenz,2.42545727254135e-05,1.7285003491933445e-05,1e-06,lorenz__seed43,0.7037037037037037
ESN,43,100,0.9,1.0,0.3,sunspots_annual,0.2297802648479164,0.2775515145221532,0.01,sunspots_annual__seed43,0.7037037037037037
ESN,43,100,0.9,1.0,0.7,mackey_glass,1.6829968563692243e-05,1.4058998961154752e-05,1e-06,mackey_glass__seed43,0.4444444444444444
ESN,43,100,0.9,1.0,0.7,narma10,0.3817095466018192,0.3056571465706217,0.1,narma10__seed43,0.7407407407407407
ESN,43,100,0.9,1.0,0.7,lorenz,7.777318075070392e-08,1.5936867553559893e-07,1e-07,lorenz__seed43,0.3333333333333333
ESN,43,100,0.9,1.0,0.7,sunspots_annual,0.1931585354014568,0.1615088357263811,1.0,sunspots_annual__seed43,0.3333333333333333
ESN,43,100,0.9,1.0,1.0,mackey_glass,1.4420619811824492e-05,1.4024440237343824e-05,1e-06,mackey_glass__seed43,0.4074074074074074
ESN,43,100,0.9,1.0,1.0,narma10,0.5080401847357344,0.5206407545892527,0.1,narma10__seed43,0.8888888888888888
ESN,43,100,0.9,1.0,1.0,lorenz,7.369611979939373e-08,1.9155996507211954e-07,1e-08,lorenz__seed43,0.2962962962962963
ESN,43,100,0.9,1.0,1.0,sunspots_annual,0.2416071873359926,0.146084144795097,1.0,sunspots_annual__seed43,0.8148148148148148
ESN,43,100,1.1,0.1,0.3,mackey_glass,0.0069555286119176,0.0400474849643223,0.001,mackey_glass__seed43,1.0
ESN,43,100,1.1,0.1,0.3,narma10,0.3791023945373004,0.3686982959134474,0.001,narma10__seed43,0.7037037037037037
ESN,43,100,1.1,0.1,0.3,lorenz,0.0197393632862559,0.0184525219225003,0.1,lorenz__seed43,1.0
ESN,43,100,1.1,0.1,0.3,sunspots_annual,0.4241532432332538,0.3986249661367355,0.1,sunspots_annual__seed43,1.0
ESN,43,100,1.1,0.1,0.7,mackey_glass,2.882726460120549e-05,1.4132173986830974e-05,1e-05,mackey_glass__seed43,0.5555555555555556
ESN,43,100,1.1,0.1,0.7,narma10,0.2185765814659166,0.2425014067373881,0.0001,narma10__seed43,0.2222222222222222
ESN,43,100,1.1,0.1,0.7,lorenz,0.0001644477737563,0.0010156206039208,1e-07,lorenz__seed43,0.8888888888888888
ESN,43,100,1.1,0.1,0.7,sunspots_annual,0.3327641951963337,0.2161752457382844,1.0,sunspots_annual__seed43,0.9629629629629628
ESN,43,100,1.1,0.1,1.0,mackey_glass,5.00159541679116e-05,2.497359726120038e-05,1e-05,mackey_glass__seed43,0.6296296296296297
ESN,43,100,1.1,0.1,1.0,narma10,0.1699504991043784,0.2765726978616208,0.01,narma10__seed43,0.074074074074074
ESN,43,100,1.1,0.1,1.0,lorenz,2.9118551986006892e-05,0.0001503842020044,1e-06,lorenz__seed43,0.8148148148148148
ESN,43,100,1.1,0.1,1.0,sunspots_annual,0.2221120725823078,0.1995903464521037,1.0,sunspots_annual__seed43,0.5185185185185185
ESN,43,100,1.1,0.5,0.3,mackey_glass,0.0005234115342166,9.218655082646956e-05,0.0001,mackey_glass__seed43,0.9629629629629628
ESN,43,100,1.1,0.5,0.3,narma10,0.3599648744109094,0.2847088832461569,0.1,narma10__seed43,0.5555555555555556
ESN,43,100,1.1,0.5,0.3,lorenz,0.001101764400524,0.0011488535319607,0.01,lorenz__seed43,0.9629629629629628
ESN,43,100,1.1,0.5,0.3,sunspots_annual,0.2878919242970385,0.4269012673871278,1.0,sunspots_annual__seed43,0.925925925925926
ESN,43,100,1.1,0.5,0.7,mackey_glass,2.4316699193544607e-05,1.47655856557322e-05,1e-05,mackey_glass__seed43,0.4814814814814814
ESN,43,100,1.1,0.5,0.7,narma10,0.3222572944609213,0.2494802287328923,1.0,narma10__seed43,0.3703703703703703
ESN,43,100,1.1,0.5,0.7,lorenz,2.627036450762185e-05,1.1080588080977687e-05,1e-05,lorenz__seed43,0.7407407407407407
