arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile,model,family,sr,input_scale,leak,replicate,val_rank_pct
,sunspots_annual,48,,,,100,0.2075483781042447,0.1500869634591062,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed48,0.5185185185185185
,mackey_glass,49,,,,100,5.560575906857693e-07,6.075742786113378e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed49,0.037037037037037
,narma10,49,,,,100,0.1364522511826437,0.1879287883910073,0.001,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed49,0.037037037037037
,lorenz,49,,,,100,9.925234893572838e-09,6.427784506408292e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed49,0.1851851851851851
,sunspots_annual,49,,,,100,0.1938539476999908,0.1401452683071921,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed49,0.3333333333333333
,mackey_glass,50,,,,100,8.159766291400349e-07,8.110791360521731e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed50,0.037037037037037
,narma10,50,,,,100,0.1421003249321535,0.2282445757220796,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed50,0.037037037037037
,lorenz,50,,,,100,6.219546998989879e-09,4.899090169090228e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed50,0.2592592592592592
,sunspots_annual,50,,,,100,0.2083555334803343,0.1510399010513311,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed50,0.5925925925925926
,mackey_glass,51,,,,100,5.530130451200166e-07,7.653211261702531e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed51,0.037037037037037
,narma10,51,,,,100,0.1444237679759459,0.1971104201711357,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed51,0.037037037037037
,lorenz,51,,,,100,1.5195844249938253e-08,3.7730778920358895e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed51,0.1481481481481481
,sunspots_annual,51,,,,100,0.2105810954222247,0.1500922869037202,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed51,0.5555555555555556
