variant,task,seed,readout,beta_pi,lambda_pi,gamma,effective_gamma,nominal_gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
base_amplitude_rxzz,mackey_glass,59,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,59,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,59,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0039766948681033,1.010994244863652,1e-08
base_amplitude_rxzz,lorenz,60,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811031,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,60,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,60,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,60,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0040386646040282,1.0108878708770934,0.0001
base_amplitude_rxzz,lorenz,61,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,61,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,61,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,61,Z+ZZ,0.0,0.0,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0048111726947988,1.0096642235950768,1e-08
base_amplitude_rxzz,lorenz,42,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,42,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,42,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
base_amplitude_rxzz,sunspots_annual,42,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0017469487567685,1.016115033835422,1e-06
base_amplitude_rxzz,lorenz,43,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.21978968481102,1.0026944750194426,1e-08
base_amplitude_rxzz,mackey_glass,43,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
base_amplitude_rxzz,narma10,43,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.027351042271381,1e-08
base_amplitude_rxzz,sunspots_annual,43,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0025169917906445,1.0139821724396525,1e-05
base_amplitude_rxzz,lorenz,44,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.21978968481103,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,44,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
