seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples,mean_val_rank,mean_val_nmse,mean_test_nmse
42,0.04,0.0,0.05,0.0,0.0,0.24293946393258836,0.24293946393258836,0.00027869775388684814,6.0652441342330965,16,750,0.7346938775510204,1.0737452092299744,0.8677515311551501
42,0.04,0.0,0.12,0.0,0.0,0.7265804922997641,0.7265804922997641,0.00032390321248024494,4.624934717241073,16,750,0.7316326530612245,1.2068191710394838,0.957834495799293
42,0.04,0.0,0.22,0.0,0.0,1.7570508718605353,1.7570508718605353,0.00033362985083952145,3.144505221061619,16,750,0.7489795918367347,1.2553893024508862,0.9860699300768454
42,0.04,0.0,0.3,0.0,1.0468243227479412e-05,2.6590696541246883,2.6590801223679157,0.0003248460063999986,2.464160279937744,16,750,0.7602040816326531,1.266174721879871,0.9916952811222051
42,0.04,0.05,0.0,0.0,0.011217783459397168,0.011530826894111557,0.022748610353508725,0.39516228926847513,11.537173732532873,16,750,0.8295918367346939,1.305330515773069,1.0098251125335918
42,0.04,0.05,0.05,7.976480785649166,10.701521775087915,0.08140438817548779,10.782926163263403,0.0011806018504669717,5.056514822162002,16,750,0.35918367346938773,0.15016288611520207,0.16137939263494544
42,0.04,0.05,0.12,8.581485488588427,9.44170080304138,0.9077753470244678,10.349476150065847,0.0017938356132314853,3.815623163820461,16,750,0.2142857142857143,0.13462853084729656,0.15725625911176233
42,0.04,0.05,0.22,7.768447718562257,7.768447718557541,2.0794853135557254,9.847933032113266,0.0023199526367476573,2.8210125161069697,16,750,0.2561224489795918,0.17445266643444376,0.19438137262693367
42,0.04,0.05,0.3,6.722733620078069,6.722733620071099,2.897707591044033,9.620441211115132,0.0025859980860673533,2.4128833366788673,16,750,0.2326530612244898,0.19553332262994919,0.2099424314565626
42,0.04,0.1,0.0,0.0,0.042168767830064624,0.0,0.042168767830064624,0.2558405664713016,9.672530390564976,16,750,0.7153061224489796,1.18815332195864,0.9717873504572295
42,0.04,0.1,0.05,8.494609581745415,10.76847050646813,0.29483126355152245,11.063301770019653,0.0015349961014295684,5.096309123702283,16,750,0.19183673469387755,0.09157691496500912,0.10239501436081538
42,0.04,0.1,0.12,8.832990555109793,9.186468496987947,1.4319781137217094,10.618446610709658,0.002333065772631023,3.413741901530207,16,750,0.13877551020408163,0.12284949392379607,0.14714763591720495
42,0.04,0.1,0.22,6.755665614977629,6.755665614970921,3.405131353375036,10.160796968345956,0.0030135174551375443,2.523871684301134,16,750,0.1846938775510204,0.18805553309148695,0.20566492094186536
42,0.04,0.1,0.3,5.539374784910738,5.539374784905613,4.157887764750396,9.69726254965601,0.003280690368525267,2.229778299825098,16,750,0.19183673469387755,0.19853070102153872,0.2098628218167236
42,0.04,0.12,0.0,0.0,0.0,0.004037855791608758,0.004037855791608758,0.25425843572436624,12.127918652109862,16,750,0.6693877551020408,1.077399755628498,0.8659669033431835
42,0.04,0.12,0.05,8.717827005621062,11.144856073076129,0.30132228235555725,11.446178355431686,0.0014874152827558781,5.42992564760091,16,750,0.1816326530612245,0.09214671781257239,0.10975700150733567
42,0.04,0.12,0.12,8.409630854739287,8.838123780263386,1.8888063779269846,10.72693015819037,0.0023378817443178877,3.3118160535567074,16,750,0.12959183673469388,0.14026824818588446,0.16953140560405244
42,0.04,0.12,0.22,6.4355410871329015,6.435541087127542,3.843086406039393,10.278627493166935,0.0029739497056325663,2.4053814371546958,16,750,0.1877551020408163,0.19401149223648734,0.20859722362986372
42,0.04,0.12,0.3,5.558783032217214,5.558783032212245,4.275715323239709,9.834498355451954,0.003162089887228199,2.1607320785827873,16,750,0.17244897959183675,0.19698119024596375,0.20802472036059064
42,0.04,0.16,0.0,0.049313439262652414,0.08977845625091074,0.0,0.08977845625091074,0.22452842262972567,13.221593508260769,16,750,0.8030612244897959,1.29887789232824,1.0270869124249393
42,0.04,0.16,0.05,8.607735976182381,9.985230307669093,1.055215033677527,11.04044534134662,0.0015079907269909005,4.836890060033567,16,750,0.22551020408163264,0.10470848841416291,0.11932377086545207
42,0.04,0.16,0.12,7.442623026974687,7.557730005051974,2.6575076817784025,10.215237686830378,0.0023173287790380316,2.9081860914618156,16,750,0.16938775510204082,0.15922252140503657,0.18213367188356583
42,0.04,0.16,0.22,6.245766549699091,6.245766549693339,3.857818948080883,10.103585497774223,0.002610333408588324,2.208403517993478,16,750,0.24795918367346936,0.19613858832353365,0.20886410091519658
42,0.04,0.16,0.3,5.235983780895219,5.235983780889354,4.386571591291065,9.622555372180418,0.0025067097596547603,2.0459641165365294,16,750,0.24489795918367346,0.198541694139191,0.20806519790422978
42,0.04,0.28,0.0,0.0,0.0,0.0066911826092823645,0.0066911826092823645,0.24660573237937838,12.013636389866814,16,750,0.8336734693877551,1.2396510719582459,1.0619629173073024
42,0.04,0.28,0.05,7.344742030158521,9.188905348788046,1.1695468759855756,10.358452224773622,0.003353263708946318,2.679878495019605,16,750,0.33163265306122447,0.11436008926637733,0.133705170309226
42,0.04,0.28,0.12,6.952600065827022,7.070117274840568,2.8055976624587586,9.875714937299326,0.0030381899231087363,2.261009229092342,16,750,0.09183673469387756,0.16612131957776693,0.19524495050887225
42,0.04,0.28,0.22,5.4464617972993326,5.446461797291931,4.495714137901207,9.942175935193138,0.0018173149001311662,2.1655844104263564,16,750,0.20204081632653062,0.19413738615611603,0.20590137908192793
42,0.04,0.28,0.3,4.818828668432571,4.8188286684236825,4.764474240057785,9.583302908481468,0.0012992708823383063,2.0773598850939927,16,750,0.25816326530612244,0.19804311643078817,0.2082033006156669
