bootstrap,band_size,loto_mean_band_rank,loto_mean_rep_rank
230,6,0.2366305658627087,0.211734693877551
231,2,0.2561263362487851,0.276938775510204
232,5,0.2393767890272992,0.2582653061224489
233,2,0.2613197278911564,0.2918367346938775
234,5,0.2319368131868132,0.226734693877551
235,5,0.2384189870280095,0.2226530612244898
236,3,0.2764959445316588,0.2935714285714286
237,4,0.2324322764820213,0.2410204081632653
238,7,0.2216980740348087,0.2593877551020408
239,4,0.2363796768707483,0.2347959183673469
240,2,0.2456632653061224,0.2597959183673469
241,7,0.230210560414642,0.2446938775510204
242,5,0.2261371882086167,0.2237755102040816
243,7,0.2506721611721612,0.283673469387755
244,2,0.2567134353741496,0.2544897959183674
245,6,0.2368247851772287,0.1846938775510204
246,4,0.23996968787515,0.2365306122448979
247,9,0.2273801130841947,0.2244897959183673
248,2,0.2456355813001892,0.2472448979591837
249,6,0.2443532555879494,0.25
250,5,0.2405648259303721,0.2286734693877551
251,3,0.2590635435992579,0.2741836734693877
252,7,0.2384209183673469,0.2012244897959183
253,2,0.2425425809421513,0.276938775510204
254,5,0.221046459492888,0.2364285714285714
255,2,0.2699897959183673,0.2927551020408163
256,4,0.2358137755102041,0.2145918367346938
257,10,0.2083466590099243,0.2283673469387754
258,8,0.2255555555555555,0.2316326530612245
259,3,0.261594387755102,0.2951020408163265
260,8,0.2208412293488824,0.2374489795918367
261,6,0.2429532920310981,0.2579591836734693
262,4,0.2488057222889155,0.2990816326530612
263,5,0.2299335924846128,0.2082653061224489
264,5,0.2487555541697198,0.2505102040816327
265,6,0.2386011904761904,0.2731632653061224
266,2,0.273268221574344,0.2641836734693877
267,8,0.237240578771191,0.2172448979591836
268,4,0.2351667809981135,0.2325510204081632
269,2,0.2664081632653061,0.2995918367346939
270,6,0.2450192934316584,0.255
271,6,0.2287836398295581,0.2272448979591836
272,4,0.2593901846452866,0.2779591836734694
273,4,0.2389311482168624,0.2446938775510204
274,8,0.232701166180758,0.2948979591836734
275,3,0.2402116038723181,0.2268367346938775
276,7,0.2278563330093942,0.2014285714285714
277,4,0.237892628913037,0.2507142857142857
278,5,0.2216486291486291,0.2094897959183673
279,4,0.2584676870748299,0.2640816326530612
280,7,0.2345296404275996,0.2938775510204081
281,8,0.2223974046140195,0.2883673469387754
282,2,0.2698014842300557,0.2906122448979592
283,1,0.2646701334379905,0.2773469387755102
284,7,0.2272722708130871,0.2447959183673469
285,5,0.2472654576000441,0.2829591836734693
286,3,0.2733918632388019,0.2840816326530612
287,6,0.2427408236021681,0.2705102040816327
288,8,0.2207095444238301,0.2206122448979591
289,5,0.2321355205616081,0.2631632653061224
290,5,0.2296959728867623,0.1931632653061224
291,6,0.2368618399740849,0.2327551020408163
292,1,0.2873268398268399,0.2801020408163265
293,7,0.2386201814058957,0.2337755102040816
294,4,0.2431397174254317,0.266938775510204
295,8,0.224781398725498,0.2207142857142857
296,1,0.2633393838304552,0.2708163265306123
297,4,0.2409588502067494,0.3080612244897959
