family,seed,beta_pi,lambda_pi,gamma,MC
QRC,48,0.5,0.12,0.05,1.282012916807353
QRC,48,0.5,0.12,0.12,1.4445890782011264
QRC,48,0.5,0.12,0.22,1.6615269724405488
QRC,48,0.5,0.12,0.3,1.6578395084717688
QRC,48,0.5,0.16,0.0,0.0
QRC,48,0.5,0.16,0.05,1.1182701754282436
QRC,48,0.5,0.16,0.12,1.4643673454206416
QRC,48,0.5,0.16,0.22,1.6536082740428286
QRC,48,0.5,0.16,0.3,1.6630814221923709
QRC,48,0.5,0.28,0.0,0.0
QRC,48,0.5,0.28,0.05,0.6453431033315655
QRC,48,0.5,0.28,0.12,0.8856838253869709
QRC,48,0.5,0.28,0.22,0.966158663771917
QRC,48,0.5,0.28,0.3,1.0359074955089946
QRC,48,0.5,0.42,0.0,0.0
QRC,48,0.5,0.42,0.05,1.4897620396346838
QRC,48,0.5,0.42,0.12,1.637426860486291
QRC,48,0.5,0.42,0.22,1.655293280263681
QRC,48,0.5,0.42,0.3,1.5530700846826844
QRC,49,0.0,0.0,0.0,0.0
QRC,49,0.0,0.0,0.05,0.0
QRC,49,0.0,0.0,0.12,0.0
QRC,49,0.0,0.0,0.22,0.0
QRC,49,0.0,0.0,0.3,0.0
QRC,49,0.0,0.05,0.0,0.0
QRC,49,0.0,0.05,0.05,0.0
QRC,49,0.0,0.05,0.12,0.0
QRC,49,0.0,0.05,0.22,0.0
QRC,49,0.0,0.05,0.3,0.0
QRC,49,0.0,0.1,0.0,0.0
QRC,49,0.0,0.1,0.05,0.0
QRC,49,0.0,0.1,0.12,0.0
QRC,49,0.0,0.1,0.22,0.0
QRC,49,0.0,0.1,0.3,0.0
QRC,49,0.0,0.12,0.0,0.0095825504650445
QRC,49,0.0,0.12,0.05,0.0
QRC,49,0.0,0.12,0.12,0.0
QRC,49,0.0,0.12,0.22,0.0
QRC,49,0.0,0.12,0.3,0.0
QRC,49,0.0,0.16,0.0,0.0
QRC,49,0.0,0.16,0.05,0.0
QRC,49,0.0,0.16,0.12,0.0
QRC,49,0.0,0.16,0.22,0.0
QRC,49,0.0,0.16,0.3,0.0
QRC,49,0.0,0.28,0.0,0.005767767771854
QRC,49,0.0,0.28,0.05,0.0
QRC,49,0.0,0.28,0.12,0.0
QRC,49,0.0,0.28,0.22,0.0
QRC,49,0.0,0.28,0.3,0.0
QRC,49,0.0,0.42,0.0,0.0069942904863081
QRC,49,0.0,0.42,0.05,0.0
QRC,49,0.0,0.42,0.12,0.0
QRC,49,0.0,0.42,0.22,0.0
QRC,49,0.0,0.42,0.3,0.0
QRC,49,0.02,0.0,0.0,0.0
QRC,49,0.02,0.0,0.05,0.0
QRC,49,0.02,0.0,0.12,0.0
QRC,49,0.02,0.0,0.22,0.0
QRC,49,0.02,0.0,0.3,0.0
QRC,49,0.02,0.05,0.0,0.004723571781256
QRC,49,0.02,0.05,0.05,10.22317676601591
QRC,49,0.02,0.05,0.12,8.207516759787092
QRC,49,0.02,0.05,0.22,6.293498873256556
QRC,49,0.02,0.05,0.3,5.487495920735029
QRC,49,0.02,0.1,0.0,0.0
QRC,49,0.02,0.1,0.05,11.27455312654517
QRC,49,0.02,0.1,0.12,7.932713033361644
QRC,49,0.02,0.1,0.22,5.3999484658950365
QRC,49,0.02,0.1,0.3,3.987080529536886
QRC,49,0.02,0.12,0.0,0.0
QRC,49,0.02,0.12,0.05,10.757369682706916
QRC,49,0.02,0.12,0.12,7.747914447358864
QRC,49,0.02,0.12,0.22,4.868531596383042
QRC,49,0.02,0.12,0.3,4.082326177826946
QRC,49,0.02,0.16,0.0,0.0
QRC,49,0.02,0.16,0.05,10.541507562222842
QRC,49,0.02,0.16,0.12,7.423624520255271
QRC,49,0.02,0.16,0.22,5.000704522320291
QRC,49,0.02,0.16,0.3,4.039230084304838
QRC,49,0.02,0.28,0.0,0.0191236229460727
QRC,49,0.02,0.28,0.05,11.257834193313869
QRC,49,0.02,0.28,0.12,7.237303188873569
QRC,49,0.02,0.28,0.22,4.64432051722104
QRC,49,0.02,0.28,0.3,3.247541405899692
QRC,49,0.02,0.42,0.0,0.0
QRC,49,0.02,0.42,0.05,11.198402303811356
QRC,49,0.02,0.42,0.12,8.684392664514032
QRC,49,0.02,0.42,0.22,5.689794920836934
QRC,49,0.02,0.42,0.3,4.273834246618386
QRC,49,0.04,0.0,0.0,0.0
QRC,49,0.04,0.0,0.05,0.0
QRC,49,0.04,0.0,0.12,0.0
QRC,49,0.04,0.0,0.22,0.0
QRC,49,0.04,0.0,0.3,0.0
QRC,49,0.04,0.05,0.0,0.0
QRC,49,0.04,0.05,0.05,8.784444696126082
QRC,49,0.04,0.05,0.12,7.462079459942436
QRC,49,0.04,0.05,0.22,6.018723925878585
QRC,49,0.04,0.05,0.3,5.418294957936174
QRC,49,0.04,0.1,0.0,0.0
QRC,49,0.04,0.1,0.05,9.95930942865953
QRC,49,0.04,0.1,0.12,7.596468344214238
QRC,49,0.04,0.1,0.22,5.414985200330708
QRC,49,0.04,0.1,0.3,4.303683730772485
QRC,49,0.04,0.12,0.0,0.0
QRC,49,0.04,0.12,0.05,9.876568775133036
QRC,49,0.04,0.12,0.12,7.620054981544204
QRC,49,0.04,0.12,0.22,4.979099719893469
QRC,49,0.04,0.12,0.3,4.256947165542931
QRC,49,0.04,0.16,0.0,0.0
QRC,49,0.04,0.16,0.05,9.354646234321091
QRC,49,0.04,0.16,0.12,7.283765637216537
QRC,49,0.04,0.16,0.22,5.016246385387442
QRC,49,0.04,0.16,0.3,4.275703163245939
QRC,49,0.04,0.28,0.0,0.0
QRC,49,0.04,0.28,0.05,10.050533788831531
QRC,49,0.04,0.28,0.12,6.6794398135990685
QRC,49,0.04,0.28,0.22,4.683472921757545
QRC,49,0.04,0.28,0.3,3.5555477435654743
QRC,49,0.04,0.42,0.0,0.0
QRC,49,0.04,0.42,0.05,10.063756757016078
QRC,49,0.04,0.42,0.12,8.22143737179092
QRC,49,0.04,0.42,0.22,5.744232642506172
QRC,49,0.04,0.42,0.3,4.300180183393061
QRC,49,0.07,0.0,0.0,0.0
QRC,49,0.07,0.0,0.05,0.0
QRC,49,0.07,0.0,0.12,0.0
QRC,49,0.07,0.0,0.22,0.0
QRC,49,0.07,0.0,0.3,0.0
QRC,49,0.07,0.05,0.0,0.0
QRC,49,0.07,0.05,0.05,7.453385891028413
QRC,49,0.07,0.05,0.12,6.586972709384456
QRC,49,0.07,0.05,0.22,5.564369059655483
QRC,49,0.07,0.05,0.3,5.009951470078413
QRC,49,0.07,0.1,0.0,0.0
QRC,49,0.07,0.1,0.05,8.4811362973329
QRC,49,0.07,0.1,0.12,6.7986627956545895
QRC,49,0.07,0.1,0.22,5.112678819208929
QRC,49,0.07,0.1,0.3,4.15633823701836
QRC,49,0.07,0.12,0.0,0.0
QRC,49,0.07,0.12,0.05,8.735380771884834
QRC,49,0.07,0.12,0.12,6.883518695937518
QRC,49,0.07,0.12,0.22,4.918755293074804
QRC,49,0.07,0.12,0.3,4.202928018877486
QRC,49,0.07,0.16,0.0,0.0
QRC,49,0.07,0.16,0.05,8.08251489991002
QRC,49,0.07,0.16,0.12,6.794143800406969
QRC,49,0.07,0.16,0.22,4.966802192196709
QRC,49,0.07,0.16,0.3,4.191241204834808
QRC,49,0.07,0.28,0.0,0.0
QRC,49,0.07,0.28,0.05,8.309315308243734
QRC,49,0.07,0.28,0.12,5.95143388907845
QRC,49,0.07,0.28,0.22,4.438992495436432
QRC,49,0.07,0.28,0.3,3.496701119881561
QRC,49,0.07,0.42,0.0,0.0032722546215238
QRC,49,0.07,0.42,0.05,8.874305341239245
QRC,49,0.07,0.42,0.12,7.386243995362051
QRC,49,0.07,0.42,0.22,5.249618739376899
QRC,49,0.07,0.42,0.3,4.167701357555053
QRC,49,0.1,0.0,0.0,0.0
QRC,49,0.1,0.0,0.05,0.0
QRC,49,0.1,0.0,0.12,0.0
QRC,49,0.1,0.0,0.22,0.0
QRC,49,0.1,0.0,0.3,0.0
QRC,49,0.1,0.05,0.0,0.0
QRC,49,0.1,0.05,0.05,6.509197018734256
QRC,49,0.1,0.05,0.12,5.878794659460855
QRC,49,0.1,0.05,0.22,5.024964176045897
QRC,49,0.1,0.05,0.3,4.483349787781104
QRC,49,0.1,0.1,0.0,0.0
QRC,49,0.1,0.1,0.05,7.327564369482617
QRC,49,0.1,0.1,0.12,6.100963034537543
QRC,49,0.1,0.1,0.22,4.711613899743626
QRC,49,0.1,0.1,0.3,3.7337366523172353
QRC,49,0.1,0.12,0.0,0.0
QRC,49,0.1,0.12,0.05,7.601009681588451
QRC,49,0.1,0.12,0.12,6.151085262404964
QRC,49,0.1,0.12,0.22,4.700783334907923
QRC,49,0.1,0.12,0.3,3.956011835206351
QRC,49,0.1,0.16,0.0,0.0083573045173385
QRC,49,0.1,0.16,0.05,7.010194632743088
QRC,49,0.1,0.16,0.12,6.266570211794722
QRC,49,0.1,0.16,0.22,4.857632395534177
QRC,49,0.1,0.16,0.3,3.964403809233146
QRC,49,0.1,0.28,0.0,0.0
QRC,49,0.1,0.28,0.05,6.996282704847866
QRC,49,0.1,0.28,0.12,5.419685285014637
QRC,49,0.1,0.28,0.22,3.959793537600928
QRC,49,0.1,0.28,0.3,3.275072443969779
QRC,49,0.1,0.42,0.0,0.0
QRC,49,0.1,0.42,0.05,7.877231564035151
QRC,49,0.1,0.42,0.12,6.6830184420099386
QRC,49,0.1,0.42,0.22,4.768807271715335
QRC,49,0.1,0.42,0.3,4.019345777768442
QRC,49,0.22,0.0,0.0,0.0
QRC,49,0.22,0.0,0.05,0.0
QRC,49,0.22,0.0,0.12,0.0
QRC,49,0.22,0.0,0.22,0.0
QRC,49,0.22,0.0,0.3,0.0
QRC,49,0.22,0.05,0.0,0.0
QRC,49,0.22,0.05,0.05,3.7568358018332377
QRC,49,0.22,0.05,0.12,4.162958815262954
QRC,49,0.22,0.05,0.22,3.703145544028098
QRC,49,0.22,0.05,0.3,3.462651251631343
QRC,49,0.22,0.1,0.0,0.0
QRC,49,0.22,0.1,0.05,4.01749576653931
QRC,49,0.22,0.1,0.12,4.178679604924349
QRC,49,0.22,0.1,0.22,3.231950656998775
QRC,49,0.22,0.1,0.3,2.868459302086788
QRC,49,0.22,0.12,0.0,0.0
QRC,49,0.22,0.12,0.05,4.132073871180403
QRC,49,0.22,0.12,0.12,4.23316784687903
QRC,49,0.22,0.12,0.22,3.552777124847233
QRC,49,0.22,0.12,0.3,2.812943189289628
QRC,49,0.22,0.16,0.0,0.0
QRC,49,0.22,0.16,0.05,4.300237234643637
QRC,49,0.22,0.16,0.12,4.375428605194876
QRC,49,0.22,0.16,0.22,3.644310589955954
QRC,49,0.22,0.16,0.3,2.926683072484148
QRC,49,0.22,0.28,0.0,0.0
QRC,49,0.22,0.28,0.05,3.950182520489857
QRC,49,0.22,0.28,0.12,3.3176427330277507
QRC,49,0.22,0.28,0.22,2.7252800549465865
QRC,49,0.22,0.28,0.3,2.4849326299487524
QRC,49,0.22,0.42,0.0,0.0
QRC,49,0.22,0.42,0.05,4.731319568926645
QRC,49,0.22,0.42,0.12,4.49228148054851
QRC,49,0.22,0.42,0.22,3.682174696951422
QRC,49,0.22,0.42,0.3,3.292662698612511
QRC,49,0.5,0.0,0.0,0.0
QRC,49,0.5,0.0,0.05,0.0170759543887255
QRC,49,0.5,0.0,0.12,0.0118675483266479
QRC,49,0.5,0.0,0.22,0.0
QRC,49,0.5,0.0,0.3,0.0
QRC,49,0.5,0.05,0.0,0.0
QRC,49,0.5,0.05,0.05,1.2261078073444822
QRC,49,0.5,0.05,0.12,1.6256166751210657
QRC,49,0.5,0.05,0.22,1.5290077775898476
QRC,49,0.5,0.05,0.3,1.548598646232691
QRC,49,0.5,0.1,0.0,0.0
QRC,49,0.5,0.1,0.05,1.2813842184431157
QRC,49,0.5,0.1,0.12,1.621601443463574
QRC,49,0.5,0.1,0.22,1.563690067183614
QRC,49,0.5,0.1,0.3,1.5282815028836183
QRC,49,0.5,0.12,0.0,0.0
QRC,49,0.5,0.12,0.05,1.3152178670636592
QRC,49,0.5,0.12,0.12,1.7195513234780142
QRC,49,0.5,0.12,0.22,1.5361530299001656
QRC,49,0.5,0.12,0.3,1.4985416904606312
QRC,49,0.5,0.16,0.0,0.0031217537234926
QRC,49,0.5,0.16,0.05,1.1630172463731996
QRC,49,0.5,0.16,0.12,1.8232858704439636
QRC,49,0.5,0.16,0.22,1.900434494516454
QRC,49,0.5,0.16,0.3,1.6354751478726188
QRC,49,0.5,0.28,0.0,0.0
QRC,49,0.5,0.28,0.05,0.818696213383439
QRC,49,0.5,0.28,0.12,1.1366849677154252
QRC,49,0.5,0.28,0.22,1.3616124039602335
QRC,49,0.5,0.28,0.3,1.4517066485194463
QRC,49,0.5,0.42,0.0,0.0
QRC,49,0.5,0.42,0.05,1.3461202060442043
QRC,49,0.5,0.42,0.12,1.7238955858682157
QRC,49,0.5,0.42,0.22,1.784690955737504
QRC,49,0.5,0.42,0.3,1.619337487315422
QRC,50,0.0,0.0,0.0,0.0032389196944049
QRC,50,0.0,0.0,0.05,0.0
QRC,50,0.0,0.0,0.12,0.0
QRC,50,0.0,0.0,0.22,0.0
QRC,50,0.0,0.0,0.3,0.0
QRC,50,0.0,0.05,0.0,0.0
QRC,50,0.0,0.05,0.05,0.0
QRC,50,0.0,0.05,0.12,0.0
QRC,50,0.0,0.05,0.22,0.0
QRC,50,0.0,0.05,0.3,0.0
QRC,50,0.0,0.1,0.0,0.0090234758234374
QRC,50,0.0,0.1,0.05,0.0
QRC,50,0.0,0.1,0.12,0.0
QRC,50,0.0,0.1,0.22,0.0
QRC,50,0.0,0.1,0.3,0.0
QRC,50,0.0,0.12,0.0,0.0
QRC,50,0.0,0.12,0.05,0.0
QRC,50,0.0,0.12,0.12,0.0
QRC,50,0.0,0.12,0.22,0.0
QRC,50,0.0,0.12,0.3,0.0
QRC,50,0.0,0.16,0.0,0.0
QRC,50,0.0,0.16,0.05,0.0
QRC,50,0.0,0.16,0.12,0.0
QRC,50,0.0,0.16,0.22,0.0
QRC,50,0.0,0.16,0.3,0.0
QRC,50,0.0,0.28,0.0,0.0
QRC,50,0.0,0.28,0.05,0.0
QRC,50,0.0,0.28,0.12,0.0
QRC,50,0.0,0.28,0.22,0.0
QRC,50,0.0,0.28,0.3,0.0
QRC,50,0.0,0.42,0.0,0.0
QRC,50,0.0,0.42,0.05,0.0
QRC,50,0.0,0.42,0.12,0.0
QRC,50,0.0,0.42,0.22,0.0
QRC,50,0.0,0.42,0.3,0.0
QRC,50,0.02,0.0,0.0,0.0001522359336297
QRC,50,0.02,0.0,0.05,0.0
QRC,50,0.02,0.0,0.12,0.0
QRC,50,0.02,0.0,0.22,0.0
QRC,50,0.02,0.0,0.3,0.0
QRC,50,0.02,0.05,0.0,0.0
QRC,50,0.02,0.05,0.05,10.820634502502422
QRC,50,0.02,0.05,0.12,10.44272068354279
QRC,50,0.02,0.05,0.22,8.264570490408481
QRC,50,0.02,0.05,0.3,6.980304252996731
QRC,50,0.02,0.1,0.0,0.0517823277357937
QRC,50,0.02,0.1,0.05,12.629132255706054
QRC,50,0.02,0.1,0.12,10.913927576245843
QRC,50,0.02,0.1,0.22,7.578544363979129
QRC,50,0.02,0.1,0.3,6.677395122933323
QRC,50,0.02,0.12,0.0,0.0
QRC,50,0.02,0.12,0.05,12.464369734476772
QRC,50,0.02,0.12,0.12,10.861458082817547
QRC,50,0.02,0.12,0.22,7.777750550904186
QRC,50,0.02,0.12,0.3,6.473794477353533
QRC,50,0.02,0.16,0.0,0.0
QRC,50,0.02,0.16,0.05,12.131835643671902
QRC,50,0.02,0.16,0.12,10.210203638943575
QRC,50,0.02,0.16,0.22,7.5872251092480445
QRC,50,0.02,0.16,0.3,6.275180373349132
QRC,50,0.02,0.28,0.0,0.0
QRC,50,0.02,0.28,0.05,10.032218011453155
QRC,50,0.02,0.28,0.12,7.7596524584230755
QRC,50,0.02,0.28,0.22,6.455069700795496
QRC,50,0.02,0.28,0.3,5.3215112095782775
QRC,50,0.02,0.42,0.0,0.0
QRC,50,0.02,0.42,0.05,10.910188607721492
QRC,50,0.02,0.42,0.12,10.513890568531892
QRC,50,0.02,0.42,0.22,7.517035106696753
QRC,50,0.02,0.42,0.3,6.695802083875273
QRC,50,0.04,0.0,0.0,0.0
QRC,50,0.04,0.0,0.05,0.0
QRC,50,0.04,0.0,0.12,0.0
QRC,50,0.04,0.0,0.22,0.0
QRC,50,0.04,0.0,0.3,0.0
QRC,50,0.04,0.05,0.0,0.0
QRC,50,0.04,0.05,0.05,9.906464123967448
QRC,50,0.04,0.05,0.12,9.12423637383645
QRC,50,0.04,0.05,0.22,7.296150227595595
QRC,50,0.04,0.05,0.3,6.251050518424666
QRC,50,0.04,0.1,0.0,0.0086427572803948
QRC,50,0.04,0.1,0.05,11.159896440063672
QRC,50,0.04,0.1,0.12,9.276580452227458
QRC,50,0.04,0.1,0.22,6.585114186375563
QRC,50,0.04,0.1,0.3,5.8508626736035865
QRC,50,0.04,0.12,0.0,0.0
QRC,50,0.04,0.12,0.05,11.010622841526178
QRC,50,0.04,0.12,0.12,9.149796706471983
QRC,50,0.04,0.12,0.22,6.676726923410039
QRC,50,0.04,0.12,0.3,5.765168280555875
QRC,50,0.04,0.16,0.0,0.0
QRC,50,0.04,0.16,0.05,10.349601656958791
QRC,50,0.04,0.16,0.12,8.501893516264612
QRC,50,0.04,0.16,0.22,6.525215847724774
QRC,50,0.04,0.16,0.3,5.805688480322827
QRC,50,0.04,0.28,0.0,0.0
QRC,50,0.04,0.28,0.05,8.199394354677786
QRC,50,0.04,0.28,0.12,6.576456028662513
QRC,50,0.04,0.28,0.22,5.519234986278372
QRC,50,0.04,0.28,0.3,5.050113652481012
QRC,50,0.04,0.42,0.0,0.0
QRC,50,0.04,0.42,0.05,9.494896891846254
QRC,50,0.04,0.42,0.12,8.584756386835966
QRC,50,0.04,0.42,0.22,6.700694652320486
QRC,50,0.04,0.42,0.3,6.096528630139282
QRC,50,0.07,0.0,0.0,0.0
QRC,50,0.07,0.0,0.05,0.0
QRC,50,0.07,0.0,0.12,0.0
QRC,50,0.07,0.0,0.22,0.0
QRC,50,0.07,0.0,0.3,0.0
QRC,50,0.07,0.05,0.0,0.002837052623226
QRC,50,0.07,0.05,0.05,8.694298293500417
QRC,50,0.07,0.05,0.12,7.8214008013547325
QRC,50,0.07,0.05,0.22,6.404533374390848
QRC,50,0.07,0.05,0.3,5.4190824470727925
QRC,50,0.07,0.1,0.0,0.0136840621696771
QRC,50,0.07,0.1,0.05,9.228014459344918
QRC,50,0.07,0.1,0.12,7.901836771438969
QRC,50,0.07,0.1,0.22,5.824064820564215
QRC,50,0.07,0.1,0.3,5.010677864432863
QRC,50,0.07,0.12,0.0,0.0090612482841492
QRC,50,0.07,0.12,0.05,9.284267295402936
QRC,50,0.07,0.12,0.12,7.822167056984306
QRC,50,0.07,0.12,0.22,5.834223590824042
QRC,50,0.07,0.12,0.3,5.0717120599932
QRC,50,0.07,0.16,0.0,0.0
QRC,50,0.07,0.16,0.05,8.399392618622864
QRC,50,0.07,0.16,0.12,7.076824263514942
QRC,50,0.07,0.16,0.22,5.598449374051108
QRC,50,0.07,0.16,0.3,5.158526009827694
QRC,50,0.07,0.28,0.0,0.0
QRC,50,0.07,0.28,0.05,6.30647204115793
QRC,50,0.07,0.28,0.12,5.277554795053388
QRC,50,0.07,0.28,0.22,4.475822239221622
QRC,50,0.07,0.28,0.3,4.372735951195781
QRC,50,0.07,0.42,0.0,0.0
QRC,50,0.07,0.42,0.05,8.270462977206776
QRC,50,0.07,0.42,0.12,7.155010290268367
QRC,50,0.07,0.42,0.22,5.994919133501104
QRC,50,0.07,0.42,0.3,5.333838057776584
QRC,50,0.1,0.0,0.0,0.0
QRC,50,0.1,0.0,0.05,0.0
QRC,50,0.1,0.0,0.12,0.0
QRC,50,0.1,0.0,0.22,0.0
QRC,50,0.1,0.0,0.3,0.0
QRC,50,0.1,0.05,0.0,0.0026084966644179
QRC,50,0.1,0.05,0.05,7.3613502282288925
QRC,50,0.1,0.05,0.12,6.761826238277426
QRC,50,0.1,0.05,0.22,5.702931590725184
QRC,50,0.1,0.05,0.3,4.837914914511472
QRC,50,0.1,0.1,0.0,0.0
QRC,50,0.1,0.1,0.05,7.664806079786168
QRC,50,0.1,0.1,0.12,6.947864467906797
QRC,50,0.1,0.1,0.22,5.246345319770587
QRC,50,0.1,0.1,0.3,4.389048233103442
QRC,50,0.1,0.12,0.0,0.0048124628964795
QRC,50,0.1,0.12,0.05,7.879416510933372
QRC,50,0.1,0.12,0.12,6.940445240499528
QRC,50,0.1,0.12,0.22,5.189849976799954
QRC,50,0.1,0.12,0.3,4.474766683659391
QRC,50,0.1,0.16,0.0,0.0024958851321549
QRC,50,0.1,0.16,0.05,6.989564138696976
QRC,50,0.1,0.16,0.12,6.173802242470243
QRC,50,0.1,0.16,0.22,4.982102037754145
QRC,50,0.1,0.16,0.3,4.597346555145387
QRC,50,0.1,0.28,0.0,0.0068877894387161
QRC,50,0.1,0.28,0.05,4.735899517990556
QRC,50,0.1,0.28,0.12,4.248761129499011
QRC,50,0.1,0.28,0.22,3.96264079382377
QRC,50,0.1,0.28,0.3,3.911382988005761
QRC,50,0.1,0.42,0.0,0.0
QRC,50,0.1,0.42,0.05,7.2212144073948705
QRC,50,0.1,0.42,0.12,6.302660184615796
QRC,50,0.1,0.42,0.22,5.369820656483776
QRC,50,0.1,0.42,0.3,4.673006711051345
QRC,50,0.22,0.0,0.0,0.0
QRC,50,0.22,0.0,0.05,0.0
QRC,50,0.22,0.0,0.12,0.0
QRC,50,0.22,0.0,0.22,0.0
QRC,50,0.22,0.0,0.3,0.0
QRC,50,0.22,0.05,0.0,0.0
QRC,50,0.22,0.05,0.05,3.102020679821929
QRC,50,0.22,0.05,0.12,3.772547530852752
QRC,50,0.22,0.05,0.22,3.696491417609746
QRC,50,0.22,0.05,0.3,3.334395974257069
QRC,50,0.22,0.1,0.0,0.0036334210760228
QRC,50,0.22,0.1,0.05,4.05618005683025
QRC,50,0.22,0.1,0.12,4.192035010100987
QRC,50,0.22,0.1,0.22,3.353436559621036
QRC,50,0.22,0.1,0.3,2.7610019656542395
QRC,50,0.22,0.12,0.0,0.0
QRC,50,0.22,0.12,0.05,4.053989442187344
QRC,50,0.22,0.12,0.12,4.152060899807269
QRC,50,0.22,0.12,0.22,3.4183243410650617
QRC,50,0.22,0.12,0.3,2.817648560255126
QRC,50,0.22,0.16,0.0,0.0
QRC,50,0.22,0.16,0.05,3.5253533693571417
QRC,50,0.22,0.16,0.12,3.8757564822190194
QRC,50,0.22,0.16,0.22,3.407624085584599
QRC,50,0.22,0.16,0.3,2.8759950990324894
QRC,50,0.22,0.28,0.0,0.0255836525041618
QRC,50,0.22,0.28,0.05,2.272955145445336
QRC,50,0.22,0.28,0.12,2.654756301410271
QRC,50,0.22,0.28,0.22,2.879106707967124
QRC,50,0.22,0.28,0.3,2.701903982662444
QRC,50,0.22,0.42,0.0,0.0
QRC,50,0.22,0.42,0.05,3.4313259412105848
QRC,50,0.22,0.42,0.12,4.095208753093538
QRC,50,0.22,0.42,0.22,3.230717514053309
QRC,50,0.22,0.42,0.3,2.812434993507646
QRC,50,0.5,0.0,0.0,0.0
QRC,50,0.5,0.0,0.05,0.0
QRC,50,0.5,0.0,0.12,0.0
QRC,50,0.5,0.0,0.22,0.0
QRC,50,0.5,0.0,0.3,0.0
QRC,50,0.5,0.05,0.0,0.0
QRC,50,0.5,0.05,0.05,0.7167397932393849
QRC,50,0.5,0.05,0.12,0.9344562257602274
QRC,50,0.5,0.05,0.22,1.2333698104402235
QRC,50,0.5,0.05,0.3,1.4127415401955172
QRC,50,0.5,0.1,0.0,0.0
QRC,50,0.5,0.1,0.05,0.9433641245517088
QRC,50,0.5,0.1,0.12,1.3054285570701796
QRC,50,0.5,0.1,0.22,1.292400792317831
QRC,50,0.5,0.1,0.3,1.4103307882799614
QRC,50,0.5,0.12,0.0,0.0020566884204012
QRC,50,0.5,0.12,0.05,1.0284291933524838
QRC,50,0.5,0.12,0.12,1.3547935633693018
QRC,50,0.5,0.12,0.22,1.4069416505366168
QRC,50,0.5,0.12,0.3,1.4160223955897675
QRC,50,0.5,0.16,0.0,0.0
QRC,50,0.5,0.16,0.05,0.9564527770197
QRC,50,0.5,0.16,0.12,1.2977774231950363
QRC,50,0.5,0.16,0.22,1.338392064670193
QRC,50,0.5,0.16,0.3,1.2699856592348455
QRC,50,0.5,0.28,0.0,0.0
QRC,50,0.5,0.28,0.05,1.0506705806716576
QRC,50,0.5,0.28,0.12,1.3189037808667965
QRC,50,0.5,0.28,0.22,1.2349548016590628
QRC,50,0.5,0.28,0.3,1.1744449350435793
QRC,50,0.5,0.42,0.0,0.0
QRC,50,0.5,0.42,0.05,0.7151939497682684
QRC,50,0.5,0.42,0.12,1.127294520393208
QRC,50,0.5,0.42,0.22,1.2523114064254048
QRC,50,0.5,0.42,0.3,1.4160718195582562
QRC,51,0.0,0.0,0.0,0.0
QRC,51,0.0,0.0,0.05,0.0
QRC,51,0.0,0.0,0.12,0.0
QRC,51,0.0,0.0,0.22,0.0
QRC,51,0.0,0.0,0.3,0.0
QRC,51,0.0,0.05,0.0,0.0
QRC,51,0.0,0.05,0.05,0.0
QRC,51,0.0,0.05,0.12,0.0
QRC,51,0.0,0.05,0.22,0.0
QRC,51,0.0,0.05,0.3,0.0
QRC,51,0.0,0.1,0.0,0.0076212677142807
QRC,51,0.0,0.1,0.05,0.0
QRC,51,0.0,0.1,0.12,0.0
QRC,51,0.0,0.1,0.22,0.0
QRC,51,0.0,0.1,0.3,0.0
QRC,51,0.0,0.12,0.0,0.0
QRC,51,0.0,0.12,0.05,0.0
QRC,51,0.0,0.12,0.12,0.0
QRC,51,0.0,0.12,0.22,0.0
QRC,51,0.0,0.12,0.3,0.0
QRC,51,0.0,0.16,0.0,0.0115483222042379
QRC,51,0.0,0.16,0.05,0.0
QRC,51,0.0,0.16,0.12,0.0
QRC,51,0.0,0.16,0.22,0.0
QRC,51,0.0,0.16,0.3,0.0
QRC,51,0.0,0.28,0.0,0.0
QRC,51,0.0,0.28,0.05,0.0
QRC,51,0.0,0.28,0.12,0.0
QRC,51,0.0,0.28,0.22,0.0
QRC,51,0.0,0.28,0.3,0.0
QRC,51,0.0,0.42,0.0,0.0056837699125906
QRC,51,0.0,0.42,0.05,0.0
QRC,51,0.0,0.42,0.12,0.0
QRC,51,0.0,0.42,0.22,0.0
QRC,51,0.0,0.42,0.3,0.0
QRC,51,0.02,0.0,0.0,0.0
QRC,51,0.02,0.0,0.05,0.0
QRC,51,0.02,0.0,0.12,0.0
QRC,51,0.02,0.0,0.22,0.0
QRC,51,0.02,0.0,0.3,0.0
QRC,51,0.02,0.05,0.0,0.0
QRC,51,0.02,0.05,0.05,12.102598316031486
QRC,51,0.02,0.05,0.12,10.95365277643552
QRC,51,0.02,0.05,0.22,8.043454230848011
QRC,51,0.02,0.05,0.3,6.37059961743906
QRC,51,0.02,0.1,0.0,0.0264236309400773
QRC,51,0.02,0.1,0.05,10.652603338225202
QRC,51,0.02,0.1,0.12,9.465720549758323
QRC,51,0.02,0.1,0.22,7.578508557125001
QRC,51,0.02,0.1,0.3,6.70868101253811
QRC,51,0.02,0.12,0.0,0.0
QRC,51,0.02,0.12,0.05,11.12895272954647
QRC,51,0.02,0.12,0.12,9.339255562689036
QRC,51,0.02,0.12,0.22,7.739122942454401
QRC,51,0.02,0.12,0.3,6.833963270406184
QRC,51,0.02,0.16,0.0,0.0
QRC,51,0.02,0.16,0.05,10.661580588921192
QRC,51,0.02,0.16,0.12,9.383189641792884
