family,seed,beta_pi,lambda_pi,gamma,MC
QRC,43,0.02,0.05,0.05,11.58885620647177
QRC,43,0.02,0.05,0.12,10.717902148990117
QRC,43,0.02,0.05,0.22,8.54220531950779
QRC,43,0.02,0.05,0.3,7.104851872601303
QRC,43,0.02,0.1,0.0,0.0
QRC,43,0.02,0.1,0.05,10.184218491783566
QRC,43,0.02,0.1,0.12,9.257401792230487
QRC,43,0.02,0.1,0.22,8.150693429653911
QRC,43,0.02,0.1,0.3,7.192348029337637
QRC,43,0.02,0.12,0.0,0.0
QRC,43,0.02,0.12,0.05,9.31986274433505
QRC,43,0.02,0.12,0.12,8.302305310469047
QRC,43,0.02,0.12,0.22,6.584640841117497
QRC,43,0.02,0.12,0.3,6.181105958400417
QRC,43,0.02,0.16,0.0,0.00238878665287
QRC,43,0.02,0.16,0.05,8.910639894951586
QRC,43,0.02,0.16,0.12,8.624122720497043
QRC,43,0.02,0.16,0.22,7.18193256514309
QRC,43,0.02,0.16,0.3,6.560898043725409
QRC,43,0.02,0.28,0.0,0.0189215804251254
QRC,43,0.02,0.28,0.05,7.155112909714203
QRC,43,0.02,0.28,0.12,6.487141082441274
QRC,43,0.02,0.28,0.22,5.704919449273616
QRC,43,0.02,0.28,0.3,5.294919785783887
QRC,43,0.02,0.42,0.0,0.0
QRC,43,0.02,0.42,0.05,11.6577706951612
QRC,43,0.02,0.42,0.12,10.05252269063736
QRC,43,0.02,0.42,0.22,8.8374405545838
QRC,43,0.02,0.42,0.3,7.563007017546845
QRC,43,0.04,0.0,0.0,0.0
QRC,43,0.04,0.0,0.05,0.0
QRC,43,0.04,0.0,0.12,0.0
QRC,43,0.04,0.0,0.22,0.0
QRC,43,0.04,0.0,0.3,0.0
QRC,43,0.04,0.05,0.0,0.0
QRC,43,0.04,0.05,0.05,10.35181660069636
QRC,43,0.04,0.05,0.12,9.415278044081315
QRC,43,0.04,0.05,0.22,7.493194184489712
QRC,43,0.04,0.05,0.3,6.286205676022976
QRC,43,0.04,0.1,0.0,0.0
QRC,43,0.04,0.1,0.05,8.60958358769784
QRC,43,0.04,0.1,0.12,8.027990987760699
QRC,43,0.04,0.1,0.22,7.095571570570547
QRC,43,0.04,0.1,0.3,6.296562100914988
QRC,43,0.04,0.12,0.0,0.0
QRC,43,0.04,0.12,0.05,7.246956857690819
QRC,43,0.04,0.12,0.12,6.757626324354977
QRC,43,0.04,0.12,0.22,5.471428033935993
QRC,43,0.04,0.12,0.3,5.4123446215715445
QRC,43,0.04,0.16,0.0,0.0
QRC,43,0.04,0.16,0.05,7.156600560545203
