p,q,beta_pi,lambda_pi,gamma,top_frequency,mean_val_rank,mean_val_nmse,in_band
10,0.5,0.22,0.1,0.12,0.0625,0.33688775510204083,0.20026199162020605,False
10,0.5,0.22,0.1,0.22,0.125,0.2932142857142857,0.20248313312699776,False
10,0.5,0.22,0.1,0.3,0.125,0.2878061224489796,0.20362042479015746,False
10,0.5,0.22,0.12,0.0,0.0,0.7310204081632653,1.1377385731409109,False
10,0.5,0.22,0.12,0.05,0.0125,0.4413265306122449,0.21158229267335424,False
10,0.5,0.22,0.12,0.12,0.05,0.3438775510204082,0.20320946264663808,False
10,0.5,0.22,0.12,0.22,0.1625,0.29137755102040813,0.20485174169821044,False
10,0.5,0.22,0.12,0.3,0.1125,0.3041836734693878,0.20657681484320367,False
10,0.5,0.22,0.16,0.0,0.0,0.7626530612244898,1.1668494728531469,False
10,0.5,0.22,0.16,0.05,0.025,0.46530612244897956,0.2254111748962125,False
10,0.5,0.22,0.16,0.12,0.0125,0.3843877551020408,0.2108388223715541,False
10,0.5,0.22,0.16,0.22,0.075,0.31229591836734694,0.2094073034883735,False
10,0.5,0.22,0.16,0.3,0.0875,0.3273979591836734,0.21135200910922528,False
10,0.5,0.22,0.28,0.0,0.0,0.8087244897959185,1.2045746359096117,False
10,0.5,0.22,0.28,0.05,0.0,0.5154591836734694,0.24463375405785937,False
10,0.5,0.22,0.28,0.12,0.0,0.4589795918367347,0.2175407437700625,False
10,0.5,0.22,0.28,0.22,0.0375,0.36801020408163265,0.2076159460552391,False
10,0.5,0.22,0.28,0.3,0.0125,0.335,0.2064420997349939,False
10,0.5,0.22,0.42,0.0,0.0,0.7430612244897958,1.1148661421102664,False
10,0.5,0.22,0.42,0.05,0.025,0.42948979591836733,0.20482004558586814,False
10,0.5,0.22,0.42,0.12,0.0375,0.35530612244897963,0.19493968848783472,False
10,0.5,0.22,0.42,0.22,0.0875,0.2960204081632653,0.19868517861301804,False
10,0.5,0.22,0.42,0.3,0.125,0.2821938775510204,0.20107448690760185,False
10,0.5,0.5,0.0,0.0,0.0,0.7543877551020408,1.112377517533978,False
10,0.5,0.5,0.0,0.05,0.0,0.7221428571428572,0.9663601442319255,False
10,0.5,0.5,0.0,0.12,0.0,0.7253061224489796,0.8428890388569814,False
10,0.5,0.5,0.0,0.22,0.0,0.7011734693877552,0.8201386851698593,False
10,0.5,0.5,0.0,0.3,0.0,0.6959693877551021,0.8701745890363515,False
10,0.5,0.5,0.05,0.0,0.0,0.7603061224489795,1.1163002331332568,False
10,0.5,0.5,0.05,0.05,0.0,0.5708163265306123,0.2999346276634135,False
10,0.5,0.5,0.05,0.12,0.0,0.5305102040816326,0.24834973591816545,False
10,0.5,0.5,0.05,0.22,0.0,0.4930612244897959,0.2303263928968881,False
10,0.5,0.5,0.05,0.3,0.0,0.4763265306122449,0.22466226861042776,False
